nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,
AG-GFLX03,2__GFLEX003,,,Flexitricity Limited,S,TRUE,2__GFLEX003,FLEXTRCY,0,49,C,-0.0021896,0,0,9.874,9.874,FALSE,FALSE,_G,North Western,,
AG-GFLX04,2__GFLEX004,,,Flexitricity Limited,S,TRUE,2__GFLEX004,FLEXTRCY,0,49,C,-0.0021896,0,0,10.29,10.29,FALSE,FALSE,_G,North Western,,
AG-GLIM01,2__GANGE001,,,Limejump Energy Limited,S,TRUE,2__GANGE001,ANGEL,-43.021,50,C,-0.0021896,-16.262,-13.848,18.9,16.095,FALSE,FALSE,_G,North Western,,
AG-GLIM02,2__GANGE002,,,Limejump Energy Limited,S,TRUE,2__GANGE002,ANGEL,-6.58,50,C,-0.0086334,-2.498,-2.112,18.985,16.045,FALSE,FALSE,_G,North Western,,
AG-GLIM03,2__GANGE003,,,Limejump Energy Limited,S,TRUE,2__GANGE003,ANGEL,0,10.321,C,-0.0086334,0,0,2.271,2.271,FALSE,FALSE,_G,North Western,,
AG-GLIM04,2__GANGE004,,,Limejump Energy Limited,S,TRUE,2__GANGE004,ANGEL,0,20.34,C,-0.0086334,0,0,4.475,4.475,FALSE,FALSE,_G,North Western,,
AG-GLIM05,2__GANGE005,,,Limejump Energy Limited,S,FALSE,2__GANGE005,ANGEL,0,0,C,-0.0041054,0,0,0,0,FALSE,FALSE,_G,North Western,,
AG-GLIM06,2__GANGE006,,,Limejump Energy Limited,S,FALSE,2__GANGE006,ANGEL,0,0,C,-0.0021896,0,0,0,0,FALSE,FALSE,_G,North Western,,
AG-GSMA01,2__GSMAE001,,,Smartestenergy Limited,S,TRUE,2__GSMAE001,SMARTEST,0,19.402,C,-0.0021896,0,0,4.074,4.074,FALSE,FALSE,_G,North Western,,
AG-GSMA02,2__GSMAR002,,,Smartestenergy Limited,S,TRUE,2__GSMAR002,SMARTEST,0,0,C,-0.0021896,0,0,0,0,FALSE,FALSE,_G,North Western,,
AG-GSTK01,2__GSTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_G2,STATKRA1,-2,20,C,-0.0021896,-0.063,-0.046,0.634,0.462,FALSE,FALSE,_G,North Western,,
AG-GSTK02,2__GSTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_G3,STATKRA1,-2,20,C,-0.0021896,-0.078,-0.061,0.776,0.608,FALSE,FALSE,_G,North Western,,
AG-GSTK03,2__GSTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_G4,STATKRA1,-2,20,C,-0.0021896,-0.045,-0.041,0.454,0.412,FALSE,FALSE,_G,North Western,,
