"185143.858837, 826708.608687"
"231315.680048, 862293.369750999"
"293345.895852999, 757790.002956"
"232178.803454999, 709714.418672999"
"293345.895852999, 757790.002956"
"293500.038046, 757752.014228999"
"205595, 683990"
"226977.973512, 827215.182819999"
"181231.120671, 875180.631708999"
"233926.125814, 831784.384333"
"147915.641708999, 843505.354918999"
"176153.721105, 625756.909559"
"231413.082559, 813651.701643"
"247261.333874, 757140.631283"
"244418.374811999, 854546.616705999"
"213243.844069, 901138.944043"
"231809.687121, 862261.336581"
"237124.664659, 855942.360823999"
"232652.839065, 862232.748555999"
"222860, 831415"
"216881.8432, 800852.890499999"
"257077.347893, 733907.818625999"
"148598.006933, 866496.666536999"
"280853.256486999, 765408.195071"
"216881.843232999, 800852.890495999"
"220655, 714679"
"222745, 810690"
"231930, 801320"
"183921.686939, 712587.006445999"
"225895, 861615"
"218164.204031, 809842.517266"
"202987, 729485"
"183921.686939, 712587.006445999"
"228554.88977, 813307.018674"
"183921.686939, 712587.006445999"
"234419.678844999, 875106.586605999"
"222745, 810690"
"269101.603889, 724133.420618999"
"264850, 798415"
"233010.426393, 863187.366913"
"230869.824876, 812928.107008"
"250616.896446, 742103.888241"
"274035, 721990"
"257261.327343, 897258.479469"
"256968.202407, 734182.067326999"
"257261.327343, 897258.479469"
"245250.958315, 741685.364569999"
"258746.519132999, 733924.380016"
"256968.202407, 734182.067326999"
"247325, 901540"
"248530, 741735"
"246905, 851695"
"263487.841273, 784203.521908"
"270988.136889, 765725.19146"
"238694.128218, 916750.918992"
"249712.919287, 916014.008566"
"113291.038795, 926162.884763999"
"120328.967017, 908665.536699"
"192865, 691305"
"276730, 722040"
"240245, 817495"
"247395, 843655"
"249410, 844225"
"231877.310669, 839888.303125999"
"262079.877180999, 783677.431289999"
"231877.310669, 839888.303125999"
"218350, 783900"
"203606.803959999, 723291.404201"
"202299.545978999, 730929.481617999"
"219200.000044999, 710099.999986"
"229571.018298, 838608.376071"
"249845, 820010"
"219300, 878900"
"245505.394088, 856091.615788"
"238862.965222, 809324.009298"
"184177.035334999, 752489.467369999"
"226977.973512, 827215.182819999"
"238719.406541, 808777.048992"
"250350, 821750"
"132024, 660214"
"344667, 1010985"
"143150, 932158"
"446456, 1142790"
"100030, 744120"
"83233, 842636"
"71706, 803309"
"142229, 930499"
"147232, 530243"
"670237, 231640"
"344074, 911416"
"0, 0"
"167373, 626330"
"223005, 567000"
"227133, 597446"
"51953, 543825"
"324500, 748500"
"242550, 852250"
"345050, 653150"
"252350, 904150"
"61258, 571215"
"302500, 617500"
"293600, 744600"
"284500, 909500"
"302500, 622500"
"302500, 627500"
"360531, 1033828"
"261220, 658203"
"481890, 413515"
"281550, 957550"
"264000, 820120"
"28892, 543668"
"238277, 816488"
"247166, 806833"
"0, 0"
"0, 0"
"270704.129834, 279283.035613999"
"274692.233031, 283465.927013"
"270466.358951999, 279169.775047999"
"274692.233031, 283465.927013"
"275303.156097, 283745.934452"
"274692.233031, 283465.927013"
"270704.129834, 279283.035613999"
"246387, 233404"
"302550, 965650"
"311550, 840550"
"283500, 625500"
"0, 0"
"212176, 775418"
"0, 0"
"537950, 292470"
"281134, 670403"
"331995, 586055"
"275500, 646500"
"329950, 950650"
"300605, 653760"
"545100, 301570"
"521653, 240193"
"609009, 315326"
"585114, 306597"
"613137, 274854"
"640461, 278558"
"333264, 587956"
"242041, 107244"
"479589, 350765"
"270500, 582500"
"319575, 752228"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"288964, 625283"
"268129, 640258"
"0, 0"
"479368, 384538"
"449969, 327738"
"516717, 419816"
"328878, 368331"
"470307, 378332"
"532446, 190691"
"588672, 172826"
"449969, 327738"
"524680, 195111"
"0, 0"
"615015, 178055"
"652658, 176367"
"306000, 466842"
"615377, 175526"
"395748, 814283"
"134353, 850769"
"456804, 279647"
"348214, 839951"
"292879, 199365"
"395550, 587550"
"326111, 485242"
"297000, 186000"
"293500, 275500"
"244000, 389000"
"291053, 295836"
"272400, 280500"
"236000, 387000"
"255500, 871000"
"266200, 287200"
"196500, 726000"
"358800, 493600"
"190360, 67560"
"411500, 541000"
"223500, 642500"
"312000, 950000"
"303300, 298800"
"273500, 829000"
"285500, 205500"
"313821, 581690"
"295000, 589000"
"512263, 458139"
"393495, 824485"
"455816, 289705"
"310453, 628117"
"448125, 511235"
"419565, 405226"
"371136, 841396"
"319640, 695487"
"413034, 597920"
"530221, 430242"
"197742, 696597"
"425478, 597629"
"425476, 595602"
"275443, 629080"
"535605, 178129"
"349985, 381240"
"538365, 209811"
"581973, 173211"
"521488, 105110"
"364659, 424755"
"518189, 412390"
"334144, 98155"
"357797, 121851"
"377476, 88548"
"251121, 122799"
"454062, 113445"
"386848, 152850"
"610859, 251069"
"344449, 137081"
"300442, 97423"
"545055, 318754"
"0, 0"
"0, 0"
"233036, 58842"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"434525, 317774"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"313300, 479100"
"0, 0"
"333356, 395230"
"310010, 685787"
"261293, 903916"
"613107, 275558"
"257717, 648148"
"535656, 293166"
"126801, 584314"
"226000, 568000"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"563561, 368447"
"564095, 362638"
